dob_yy,dob_mm,apgar5,births
1991,10,0,209
1991,10,1,546
1991,10,10,36510
1991,10,2,242
1991,10,3,244
1991,10,4,370
1991,10,5,767
1991,10,6,1660
1991,10,7,4082
1991,10,8,19006
1991,10,9,201803
1991,10,99,83941
1991,11,0,194
1991,11,1,478
1991,11,10,33227
1991,11,2,198
1991,11,3,222
1991,11,4,378
1991,11,5,694
1991,11,6,1494
1991,11,7,3833
1991,11,8,17752
1991,11,9,188100
1991,11,99,77442
1991,12,0,164
1991,12,1,503
1991,12,10,35328
1991,12,2,236
1991,12,3,259
1991,12,4,372
1991,12,5,694
1991,12,6,1509
1991,12,7,3985
1991,12,8,18581
1991,12,9,198589
1991,12,99,81365
1991,2,0,175
1991,2,1,468
1991,2,10,33556
1991,2,2,244
1991,2,3,241
1991,2,4,345
1991,2,5,643
1991,2,6,1420
1991,2,7,3681
1991,2,8,17337
1991,2,9,180519
1991,2,99,70794
1991,3,0,230
1991,3,1,536
1991,3,10,36589
1991,3,2,255
1991,3,3,294
1991,3,4,364
1991,3,5,774
1991,3,6,1675
1991,3,7,4163
1991,3,8,19603
1991,3,9,202730
1991,3,99,77188
1991,4,0,193
1991,4,1,578
1991,4,10,35629
1991,4,2,251
1991,4,3,252
1991,4,4,399
1991,4,5,651
1991,4,6,1572
1991,4,7,4179
1991,4,8,19222
1991,4,9,197389
1991,4,99,75681
1991,5,0,204
1991,5,1,576
1991,5,10,37623
1991,5,2,290
1991,5,3,241
1991,5,4,386
1991,5,5,770
1991,5,6,1683
1991,5,7,4220
1991,5,8,19554
1991,5,9,208385
1991,5,99,79560
1991,6,0,207
1991,6,1,550
1991,6,10,35976
1991,6,2,238
1991,6,3,263
1991,6,4,340
1991,6,5,704
1991,6,6,1607
1991,6,7,3978
1991,6,8,18491
1991,6,9,195263
1991,6,99,77025
1991,7,0,207
1991,7,1,601
1991,7,10,38505
1991,7,2,267
1991,7,3,270
1991,7,4,400
1991,7,5,835
1991,7,6,1797
1991,7,7,4242
1991,7,8,20227
1991,7,9,211701
1991,7,99,84275
1991,8,0,224
1991,8,1,576
1991,8,10,38353
1991,8,2,264
1991,8,3,273
1991,8,4,410
1991,8,5,734
1991,8,6,1684
1991,8,7,4243
1991,8,8,20192
1991,8,9,213927
1991,8,99,86340
1991,9,0,204
1991,9,1,554
1991,9,10,37432
1991,9,2,238
1991,9,3,261
1991,9,4,361
1991,9,5,723
1991,9,6,1645
1991,9,7,4027
1991,9,8,19260
1991,9,9,206724
1991,9,99,84932
2005,1,0,150
2005,1,1,577
2005,1,10,14873
2005,1,2,369
2005,1,3,364
2005,1,4,436
2005,1,5,976
2005,1,6,1734
2005,1,7,4820
2005,1,8,25329
2005,1,9,236288
2005,1,99,46114
2005,10,0,188
2005,10,1,603
2005,10,10,15141
2005,10,2,327
2005,10,3,349
2005,10,4,463
2005,10,5,760
2005,10,6,1725
2005,10,7,4695
2005,10,8,24754
2005,10,9,248402
2005,10,99,47886
2005,11,0,165
2005,11,1,573
2005,11,10,14611
2005,11,2,296
2005,11,3,340
2005,11,4,459
2005,11,5,851
2005,11,6,1660
2005,11,7,4529
2005,11,8,23661
2005,11,9,242844
2005,11,99,46320
2005,12,0,151
2005,12,1,617
2005,12,10,15048
2005,12,2,339
2005,12,3,333
2005,12,4,453
2005,12,5,818
2005,12,6,1779
2005,12,7,4643
2005,12,8,24327
2005,12,9,252828
2005,12,99,47512
2005,2,0,154
2005,2,1,524
2005,2,10,13682
2005,2,2,245
2005,2,3,312
2005,2,4,432
2005,2,5,748
2005,2,6,1563
2005,2,7,4431
2005,2,8,22494
2005,2,9,222680
2005,2,99,42831
2005,3,0,184
2005,3,1,592
2005,3,10,15323
2005,3,2,311
2005,3,3,333
2005,3,4,471
2005,3,5,849
2005,3,6,1909
2005,3,7,4745
2005,3,8,25344
2005,3,9,251564
2005,3,99,48256
2005,4,0,159
2005,4,1,575
2005,4,10,14477
2005,4,2,305
2005,4,3,334
2005,4,4,451
2005,4,5,756
2005,4,6,1862
2005,4,7,4703
2005,4,8,24357
2005,4,9,239766
2005,4,99,45282
2005,5,0,157
2005,5,1,627
2005,5,10,15153
2005,5,2,314
2005,5,3,321
2005,5,4,463
2005,5,5,855
2005,5,6,1761
2005,5,7,4731
